category,player,dealer_up,action,mean_ev,count
hard,15,K,double,2.000000,2
hard,15,K,hit,-1.000000,1
hard,15,K,stand,0.000000,2
hard,12,A,double,-2.000000,1
hard,17,5,stand,-1.000000,1
hard,17,5,double,-2.000000,2
hard,20,Q,stand,0.500000,2
hard,20,Q,double,-2.000000,3
hard,20,Q,hit,-1.000000,1
soft,17,A,stand,0.500000,2
soft,17,A,double,-2.000000,1
hard,13,K,hit,0.000000,2
hard,13,K,stand,-1.000000,4
hard,13,K,double,1.000000,4
pair,K,J,split,0.000000,1
pair,K,J,stand,0.000000,1
hard,9,5,hit,-1.000000,1
pair,6,K,double,2.000000,1
hard,20,7,double,-2.000000,6
hard,20,7,stand,0.666667,3
hard,20,7,hit,1.000000,1
hard,20,10,double,-2.000000,2
hard,20,10,stand,0.500000,4
hard,19,6,stand,0.000000,2
hard,19,6,hit,-1.000000,2
hard,18,5,stand,0.333333,3
hard,18,5,hit,-1.000000,1
hard,18,5,double,2.000000,1
hard,16,J,double,0.000000,4
hard,16,J,stand,0.000000,4
hard,16,J,hit,0.500000,2
hard,10,K,stand,-1.000000,3
hard,10,K,double,2.000000,2
hard,13,5,double,-2.000000,3
hard,13,5,stand,0.000000,2
hard,13,5,hit,-0.333333,3
hard,10,J,stand,-1.000000,2
hard,10,J,double,1.000000,2
hard,10,J,hit,-1.000000,1
soft,16,10,stand,-1.000000,1
hard,15,9,double,-0.666667,3
hard,15,9,stand,-0.333333,3
hard,15,9,hit,-1.000000,1
hard,8,K,double,2.000000,1
hard,7,Q,stand,-0.333333,3
hard,18,8,hit,-1.000000,1
hard,18,8,double,0.666667,3
hard,18,8,stand,-1.000000,2
hard,20,4,stand,0.000000,1
hard,20,4,hit,-1.000000,2
hard,20,4,double,-2.000000,1
hard,15,A,stand,-0.333333,3
hard,15,A,double,-2.000000,2
pair,3,K,double,2.000000,1
hard,11,J,stand,-1.000000,4
hard,11,J,double,2.000000,1
hard,11,J,hit,-1.000000,1
hard,13,Q,double,1.000000,4
hard,13,Q,hit,0.000000,2
hard,13,Q,stand,0.000000,2
hard,7,7,hit,-1.000000,2
hard,19,J,double,-2.000000,1
hard,19,J,hit,-1.000000,2
hard,19,J,stand,-1.000000,2
hard,16,5,hit,0.000000,2
hard,16,5,double,0.000000,2
hard,16,5,stand,-1.000000,1
hard,12,J,stand,-1.000000,2
hard,12,J,double,-1.000000,4
hard,12,J,hit,-0.333333,3
pair,K,2,split,0.000000,1
pair,K,2,hit,-1.000000,1
pair,Q,6,stand,-0.500000,2
hard,12,4,double,0.000000,4
hard,12,4,stand,1.000000,1
hard,12,4,hit,-0.333333,3
soft,20,J,double,0.000000,2
hard,10,9,stand,0.000000,2
hard,10,9,double,2.000000,1
hard,12,6,stand,-1.000000,1
hard,12,6,hit,1.000000,1
hard,12,6,double,-2.000000,1
hard,16,8,stand,-1.000000,1
hard,16,8,double,-2.000000,1
hard,16,10,double,-2.000000,3
hard,16,10,stand,-1.000000,1
hard,16,10,hit,-1.000000,1
pair,10,K,hit,-1.000000,1
hard,10,3,hit,-1.000000,1
hard,10,3,stand,1.000000,1
pair,4,8,double,2.000000,1
hard,10,5,hit,0.000000,2
hard,10,5,stand,1.000000,1
hard,7,6,hit,1.000000,1
hard,9,3,stand,-0.333333,3
hard,9,3,double,1.000000,2
hard,9,3,hit,-1.000000,1
soft,19,2,stand,-1.000000,1
hard,9,Q,stand,-1.000000,3
hard,9,Q,hit,-1.000000,1
hard,9,Q,double,-2.000000,2
soft,18,J,stand,0.000000,2
hard,8,6,stand,1.000000,1
hard,8,6,hit,0.000000,2
soft,16,6,hit,0.000000,1
soft,16,6,double,2.000000,1
hard,9,7,stand,-1.000000,1
hard,9,7,double,2.000000,2
hard,9,7,hit,-1.000000,1
hard,18,J,double,2.000000,1
hard,18,J,stand,-0.333333,3
hard,18,J,hit,-1.000000,1
soft,17,6,hit,-1.000000,1
soft,17,6,double,2.000000,1
pair,2,9,double,-2.000000,1
pair,2,9,hit,-1.000000,1
pair,2,9,split,-3.000000,1
hard,13,6,double,-2.000000,1
hard,13,6,stand,-1.000000,3
hard,13,6,hit,-0.500000,2
pair,5,6,double,2.000000,2
pair,5,6,hit,1.000000,1
hard,8,A,double,0.000000,2
hard,8,2,stand,0.000000,2
hard,8,2,double,-2.000000,1
hard,11,9,double,2.000000,1
hard,11,9,hit,1.000000,1
hard,11,9,stand,-1.000000,1
hard,5,8,stand,1.000000,1
soft,14,3,stand,1.000000,1
soft,13,3,hit,1.000000,1
soft,13,3,stand,1.000000,1
pair,K,7,hit,-1.000000,1
soft,19,8,hit,-1.000000,1
hard,13,4,stand,-1.000000,2
hard,13,4,double,0.000000,2
hard,14,Q,double,0.000000,2
hard,14,Q,stand,-1.000000,2
hard,14,Q,hit,-1.000000,1
pair,A,10,split,-2.000000,1
hard,17,2,hit,0.000000,2
hard,17,2,stand,0.000000,3
hard,17,2,double,2.000000,1
soft,19,A,stand,-1.000000,1
hard,13,A,stand,-1.000000,2
hard,13,A,double,-2.000000,2
hard,20,J,hit,-1.000000,3
hard,20,J,stand,0.000000,3
hard,20,J,double,-2.000000,1
soft,18,A,double,-2.000000,1
hard,12,7,double,-0.666667,3
hard,12,7,stand,-1.000000,1
hard,12,7,hit,-1.000000,1
pair,J,2,split,0.000000,1
pair,8,6,stand,0.000000,2
hard,11,Q,double,2.000000,1
pair,9,7,stand,1.000000,1
pair,A,7,double,2.000000,1
hard,15,2,stand,0.000000,2
hard,15,2,double,-2.000000,2
hard,15,2,hit,-1.000000,1
pair,2,6,stand,1.000000,1
pair,2,6,hit,-1.000000,1
soft,13,K,double,-2.000000,3
soft,13,K,stand,-1.000000,1
pair,6,8,split,1.000000,1
hard,17,8,stand,-1.000000,1
hard,17,8,hit,0.000000,2
hard,18,4,double,0.000000,4
hard,18,4,hit,0.000000,2
hard,18,4,stand,1.000000,1
hard,14,J,double,0.000000,3
hard,14,J,hit,-1.000000,2
soft,14,5,hit,0.000000,1
soft,14,5,stand,-1.000000,1
soft,17,9,double,-2.000000,1
soft,17,9,stand,1.000000,1
soft,17,9,hit,1.000000,1
soft,20,9,double,-2.000000,1
pair,3,7,split,-2.000000,1
soft,16,4,double,-2.000000,1
soft,15,Q,hit,-1.000000,1
soft,18,7,stand,1.000000,1
soft,18,7,double,-2.000000,1
hard,19,4,stand,0.333333,3
soft,15,10,hit,-1.000000,1
soft,15,10,double,2.000000,1
hard,11,A,stand,1.000000,2
hard,11,A,hit,1.000000,1
hard,9,K,stand,0.000000,2
hard,9,K,double,-2.000000,2
hard,5,J,hit,-1.000000,1
hard,5,J,stand,-1.000000,2
hard,19,10,stand,-1.000000,1
hard,19,10,double,-2.000000,1
hard,19,10,hit,-1.000000,1
hard,14,3,stand,-0.333333,3
hard,14,3,double,0.000000,1
pair,8,9,stand,1.000000,1
hard,5,Q,stand,-1.000000,1
hard,19,Q,double,-2.000000,4
hard,20,5,stand,0.000000,2
hard,20,5,hit,-1.000000,1
hard,20,5,double,-2.000000,3
hard,8,10,hit,-0.500000,4
hard,10,10,stand,0.000000,2
hard,10,10,hit,-1.000000,1
hard,10,10,double,-2.000000,1
hard,5,A,double,-2.000000,1
hard,5,A,hit,-1.000000,2
hard,13,2,hit,-1.000000,1
hard,13,2,double,-2.000000,1
hard,13,2,stand,-1.000000,1
pair,3,10,split,-2.000000,1
hard,11,4,hit,1.000000,1
hard,11,4,double,2.000000,1
hard,11,4,stand,-1.000000,1
hard,20,9,hit,-1.000000,1
hard,20,9,double,-2.000000,2
hard,20,9,stand,1.000000,2
pair,10,9,hit,-1.000000,1
hard,13,9,double,-0.666667,3
hard,13,9,hit,-1.000000,1
hard,13,9,stand,-1.000000,1
hard,15,6,stand,0.000000,2
hard,15,6,hit,-1.000000,1
hard,15,6,double,-2.000000,1
pair,A,5,stand,-1.000000,1
soft,15,J,hit,-1.000000,1
hard,18,K,double,-0.666667,3
